word,count
예약,69
없다,48
취소,38
여행,33
연락,30
앱,23
호텔,22
전화,21
어플,18
고객센터,25
확인,14
문의,14
검색,13
메일,13
환불,12
상품,11
지도,11
보내,11
일정,10
나오,10
도시,10
이용,9
장소,9
등록,9
결제,9
처리,9
기능,8
불편,8
곳,8
투어,8
답변,8
변경,7
문제,7
사용,7
코로나,7
많,7
가능,7
유명,7
불가,7
읽,7
삭제,7
숙소,7
대응,6
이메일,6
정보,6
카톡,6
최악,6
정도,6
티켓,6
돈,6
서비스,6
여행지,6
국내,6
광고,6
글,6
때,6
찾,5
응대,5
뒤,5
이렇,5
이번,5
보이,5
답,5
답장,5
비싸,5
해결,5
숙박,5
해외,5
추천,5
상황,5
알,5
추가,5
모르,5
인하,5
조회,5
요청,5
느리,5
짜,5
비행기,4
연결,4
시간,4
생기,4
처음,4
표,4
기분,4
찍,4
그렇,4
지역,4
계획,4
가격,4
나,4
신청,4
수수료,4
보,4
업체,4
사정,4
문,4
회사,4
깔,4
치,4
반복,4
코로나바이러스,4
기다리,4
소비자,3
아이디,3
선택,3
크,3
설치,3
답답하,3
구글,3
들어오,3
관련,3
관광지,3
따지,3
남기,3
현지,3
역,3
상담,3
네이버,3
한국,3
생각,3
쓸모,3
경우,3
걸리,3
날짜,3
비추,3
해외여행,3
출발,3
지우,3
통하,3
친절,3
자체,3
결항,3
저가,3
예매,3
늦,3
넘,3
사람,3
바우처,3
링크,3
확정,3
신종,3
항공,3
접수,3
항공사,3
항공권,3
대하,3
최저,3
붙,3
제주,3
이상,2
일방,2
결재,2
다리,2
주기,2
어떻,2
망치,2
오사카,2
무료,2
매진,2
다이빙,2
오픈,2
사이판,2
망하,2
내용,2
맞,2
울릉도,2
독도,2
공항,2
원,2
사기,2
어이,2
해당,2
복,2
설명,2
저장,2
밤,2
통,2
스,2
점,2
도착,2
자동,2
이스탄불,2
업데이트,2
다운,2
잡,2
끊,2
대문,2
직원,2
고르,2
안내,2
개발,2
버튼,2
배,2
화나,2
배상,2
쓰레기,2
영업시간,2
여기,2
전후,2
알아보,2
가입,2
시스템,2
공유,2
남미,2
미끼,2
바꾸,2
싸,2
구입,2
영업,2
절대,2
동선,2
이틀,2
번호,2
알리,2
나가,2
올리,2
어쩌,2
카카오톡,2
구매,2
지,2
애용,2
기본,2
쿠폰,2
올라오,2
사이,2
유용,2
넣,2
보장,2
만원,2
달,2
이벤트,2
리스트,2
느끼,2
핀,2
모르쇠,2
날,2
기준,2
짤,2
방,2
사이트,2
뜨,2
파크,2
시설,2
예,2
당장,2
입력,2
그날,2
위,2
화,2
하루,2
펜션,2
돌아오,2
구리,2
인터페이스,2
진행,2
기획,2
사태,2
홍보,2
업무,2
로그인,2
실망,2
위치,2
나쁘,2
아프리카,2
상태,2
후기,2
카페,2
공급,2
사,2
끼,2
판매,2
다음,2
가고시마,1
헬싱키,1
골치,1
바르샤바,1
아프,1
상트페테르부르크,1
기존,1
킹,1
어필,1
일본,1
용,1
베드,1
트윈,1
우기,1
효,1
잘못,1
수동,1
첨,1
소식,1
인식,1
