word,count
앱,54
느리,39
인터파크,27
예약,24
업데이트,22
없다,21
사용,21
로그인,20
어플,20
쓰다,19
화면,19
누르,18
뜨는,17
검색,17
항공,17
삭제,16
이용,15
보기,15
투어,14
넘어가,13
날짜,12
같,11
선택,11
연결,10
호텔,10
불편,10
전화,9
초기,9
취소,9
수수료,9
쿠폰,8
열리,8
설치,8
멈추,8
짜증,8
모바일,7
고객,7
깔,7
가,7
여행,7
바꾸,7
로딩,7
나오,7
이름,6
수정,6
리뷰,6
시간,6
만들,6
개선,6
페이지,6
나,6
오류,5
최악,5
걸리,5
인원,5
항공권,5
기분,5
다운,5
속,5
센터,5
부탁,5
보이,5
후,5
가격,5
처음,5
예매,5
내,5
뒤,5
상담사,5
접속,4
정보,4
티켓,4
설정,4
작동,4
자체,4
상품,4
환불,4
이렇,4
국내,4
속도,4
여행사,4
드리,4
연락,4
클릭,4
문제,4
상담,4
많,4
버튼,4
열,4
변경,4
들어가,4
반복,4
터지,4
폰,4
알,4
그렇,4
문의,3
이러,3
기다리,3
괜찮,3
지,3
지역,3
말,3
추천,3
인터넷,3
버,3
주,3
정도,3
이상,3
버전,3
강제,3
비행기,3
곳,3
결제,3
조회,3
반응,3
터치,3
창,3
메세지,3
렉,3
세상,3
요즘,3
집사,3
분,3
인원수,3
일,3
희,3
회사,3
가리,3
고치,3
바뀌,3
웹,3
경우,3
통화,3
항공편,3
자동,3
노트,3
숙소,3
통하,3
빠르,3
로고,2
지우,2
다음,2
하루,2
먹통,2
입력,2
불가,2
먹,2
돌아가,2
개,2
똑같,2
홈,2
서비스,2
싸,2
이후,2
적,2
표기,2
벅,2
이틀,2
키우,2
최고,2
순,2
지정,2
적립,2
어쩌,2
동안,2
평,2
발급,2
흰색,2
사진,2
절반,2
오늘,2
전,2
보안,2
저가,2
원,2
모르,2
장,2
할인,2
신경,2
부분,2
비번,2
회원,2
해외,2
요금,2
비,2
엄청나,2
해당,2
처리,2
네이버,2
답변,2
최신,2
스카이스캐너,2
해결,2
직장인,2
지금,2
튕기,2
경유,2
크,2
돌아오,2
구매,2
나가,2
이전,2
이번,2
사이트,2
방법,2
마찬가지,2
티,2
싫,2
생기,2
편하,2
팝업,2
힘들,2
해외여행,2
가능,2
기능,2
어떻,2
데이터,2
위하,2
와이파이,2
현상,2
작성,2
바탕,2
저렴하,2
정상,2
참고,2
그러,2
고민,2
나쁘,2
등록,2
남기,2
준비,2
스,1
즏,1
우리나라,1
절실하,1
가난,1
얼,1
세금,1
배포,1
뉴,1
챙피,1
담당자,1
공지,1
정떨어지,1
붙,1
이유,1
담,1
매너,1
알람,1
씹히,1
필터,1
몰,1
응사,1
동의,1
첵,1
출,1
슺,1
증,1
장난치,1
제일,1
차이,1
시작,1
다행,1
만족,1
애,1
애용,1
느려지,1
화병,1
반,1
건지,1
출장,1
좋아하,1
판매,1
개발,1
솓,1
계,1
한참,1
구리,1
플로우,1
조정,1
거지,1
거부,1
기간,1
